Make,Model,Year,Price,Milage
Toyota,Avalon,2008,78173,97420
Toyota,Sequoia,2007,85620,37049
Toyota,Celica,2005,70276,29634
Toyota,Sequoia,2003,83326,5416
Toyota,Sienna,2003,60121,13771
Toyota,Corolla,2000,95086,64721
Toyota,Prius,2002,2657,77280
Toyota,Celica,1995,97737,67048
Toyota,Previa,1997,47262,43457
Toyota,Land Cruiser,2004,79811,5978
Toyota,Prius,2003,52137,8144
Toyota,Ipsum,2000,85045,62103
Toyota,Sienna,2009,55474,38153
Toyota,Corolla,2009,70855,40310
Toyota,Tundra,2007,62927,89724
Toyota,MR2,2002,65151,84484
Toyota,Avalon,1996,96751,45907
Toyota,Sequoia,2006,87004,32573
Toyota,Previa,1996,86935,7106
Toyota,Corolla,2005,81444,90622
Toyota,Celica,2003,91972,72930
Toyota,Camry Hybrid,2012,76838,77062
Toyota,Celica,2005,6241,61470
Toyota,Sienna,2012,20508,13649
Toyota,Camry,2002,1222,29811
Toyota,Camry,2005,19690,18808
Toyota,Tundra,2003,75444,3681
Toyota,4Runner,2011,92834,6867
Toyota,Corolla,1996,93479,57481
Toyota,Tercel,1998,50097,88056
Toyota,MR2,1994,55676,49083
Toyota,Venza,2011,83754,6548
Toyota,Sienna,2000,66843,54080
Toyota,Tacoma,1999,60738,20565
Toyota,FJ Cruiser,2010,9110,72051
Toyota,Tundra,2010,24861,68721
Toyota,Tacoma Xtra,2003,72490,40011
Toyota,MR2,1986,62326,93040
Toyota,MR2,1994,70094,56544
Toyota,Paseo,1995,11031,37366
Toyota,Camry,2002,81944,29341
Toyota,Highlander,2012,27092,10127
Toyota,4Runner,1999,50445,53220
Toyota,Tacoma,2007,36793,82744
Toyota,Previa,1995,75807,39070
Toyota,Prius,2003,94772,29102
Toyota,Xtra,1994,51237,79874
Toyota,Sienna,2001,1989,41678
Toyota,Corolla,2003,13860,36910
Toyota,Corolla,2003,90697,95559
Toyota,Avalon,1995,61405,6708
Toyota,Highlander,2021,45000,32000
Toyota,Highlander,2021,45000,32000
Toyota,Highlander,2021,45000,32000
Toyota,Highlander,2021,45000,32000
