Make,Model,Year,Price,Milage
Subaru,Alcyone SVX,1992,97085,19735
Infiniti,FX,2009,50998,85550
Toyota,Avalon,2008,78173,97420
Honda,Fit,2007,87254,42633
Pontiac,Bonneville,2005,82063,61547
Lexus,LX,1996,57233,90521
Audi,A6,2007,89504,88075
BMW,645,2005,88457,46613
Saturn,VUE,2010,90288,62070
Subaru,Legacy,2011,98037,70868
Lincoln,Town Car,2004,12976,4284
Volkswagen,GTI,1993,97576,33279
Mercedes-Benz,C-Class,2007,89800,86456
Audi,TT,2011,94556,6290
Cadillac,XLR,2007,22194,33743
Hyundai,Accent,2005,7891,5343
Dodge,Caravan,1985,62006,67124
Lincoln,MKZ,2011,5114,32745
Oldsmobile,Intrigue,1998,97171,67533
Subaru,Tribeca,2010,20300,92254
Buick,Rendezvous,2004,47122,19068
Dodge,Ram 2500,1996,55143,13010
GMC,Yukon XL 2500,2005,11453,3855
Volkswagen,Golf,1988,21817,796
Mercedes-Benz,C-Class,1997,12572,99889
Bentley,Continental Flying Spur,2011,38181,86130
Cadillac,Seville,1996,23230,42691
Chevrolet,Corvette,1993,44575,77575
Eagle,Vision,1996,62039,59161
Infiniti,G25,2011,50698,13822
Chevrolet,Camaro,1978,39623,7290
Isuzu,VehiCROSS,2000,23221,58089
Chevrolet,Express 1500,1996,47754,8039
Saab,9-7X,2007,84558,85661
Mazda,626,1987,94351,54732
Lamborghini,Reventón,2008,23590,44018
Chevrolet,S10,2004,14017,33075
Kia,Optima,2012,63594,90783
Mazda,CX-7,2011,3161,48219
Pontiac,Grand Prix,1994,96129,61873
GMC,Jimmy,2000,46591,96063
Buick,Electra,1984,83983,22254
Toyota,Sequoia,2007,85620,37049
Mazda,RX-8,2008,68544,22563
Buick,Skyhawk,1984,84679,861
Chevrolet,Cavalier,2000,53841,42830
Audi,TT,2003,56773,54429
Saab,9000,1999,31925,81355
Saab,9-5,1999,64626,73949
Saturn,VUE,2005,51113,71978
GMC,Acadia,2010,74343,9148
Dodge,Challenger,2011,63398,77912
Dodge,Ram Van 2500,2001,44839,46379
Acura,CL,1998,6828,86726
Chevrolet,Camaro,1999,49175,75012
Ford,Explorer Sport Trac,2001,4003,60898
Volvo,S80,2007,23317,45529
Acura,RDX,2012,85707,51181
Suzuki,Aerio,2004,3718,50689
Mercedes-Benz,G-Class,2008,9477,98746
Nissan,Frontier,2008,87543,42581
Mitsubishi,Diamante,1994,92840,69930
Dodge,Ram 2500,2007,28801,37080
GMC,Sierra,2008,37914,37286
Dodge,Ram 3500,2003,91974,52509
Suzuki,Grand Vitara,2008,57765,19702
Chevrolet,G-Series G10,1995,6971,66972
Mitsubishi,Pajero,1989,8879,17260
Ford,Tempo,1989,32871,78467
Volkswagen,Eurovan,1999,83963,48860
Volkswagen,Type 2,1990,65947,38875
Ford,F-Series,1993,7398,31205
Ford,F250,2008,62157,58067
Suzuki,Daewoo Lacetti,2005,12133,46127
Chrysler,200,2011,5814,76961
Toyota,Celica,2005,70276,29634
GMC,Rally Wagon G3500,1996,33927,14612
Mitsubishi,Truck,1989,87898,63432
Saturn,Outlook,2010,94679,24084
Mercedes-Benz,S-Class,1986,8893,89231
Nissan,Maxima,2001,55606,46900
Toyota,Sequoia,2003,83326,5416
Subaru,SVX,1997,88522,85505
Lexus,LS,2006,64281,31290
Honda,Odyssey,1995,44744,94219
Honda,Civic,2008,46697,76101
Oldsmobile,Bravada,1994,63071,56307
Lotus,Exige,2005,97435,89979
Suzuki,Swift,1989,52922,93373
Nissan,200SX,1996,86558,18293
Volvo,S80,1999,8342,96476
Acura,TL,2000,21787,39023
Ford,Expedition,1999,66933,26452
Subaru,Forester,2004,77616,47238
Chevrolet,Blazer,1996,44997,61021
Isuzu,Rodeo,1994,88210,98017
Mercury,Topaz,1993,79994,68431
Cadillac,SRX,2005,54169,94964
Hyundai,Santa Fe,2008,40773,87740
Eagle,Talon,1994,9781,65787
Geo,Metro,1993,27958,50924
Chevrolet,Corvair 500,1963,55111,95118
GMC,Acadia,2010,42940,5727
Toyota,Sienna,2003,60121,13771
Chevrolet,Cavalier,1995,21869,58567
Toyota,Corolla,2000,95086,64721
Dodge,Charger,1999,27893,48558
Nissan,NV1500,2012,14314,86155
Dodge,Ram Van 2500,1996,90309,59476
GMC,Savana 2500,2003,9603,56312
Toyota,Prius,2002,2657,77280
Pontiac,Vibe,2010,61301,99589
Ford,F350,1999,17795,23828
Aston Martin,Vanquish S,2005,5570,14012
Cadillac,Escalade EXT,2005,35243,87434
Infiniti,QX,2006,7169,50042
GMC,Vandura 1500,1993,66434,23476
Ram,1500,2012,51247,88837
Audi,S8,2008,86656,59536
Infiniti,FX,2010,34853,54328
Volvo,C70,2001,40858,40895
Chevrolet,Equinox,2012,74923,30295
Toyota,Celica,1995,97737,67048
Chrysler,Town & Country,2011,70363,91638
Dodge,Caliber,2007,95709,6422
Oldsmobile,Ciera,1993,45786,61525
Chevrolet,Tracker,2004,16808,18784
Chevrolet,Corsica,1996,37858,80938
BMW,M Roadster,2007,91493,42597
Volkswagen,Phaeton,2004,83916,64658
Mercury,Grand Marquis,1998,96018,60082
Chevrolet,TrailBlazer,2006,28405,72282
Volvo,V90,1997,32139,24687
Ford,Thunderbird,1985,33574,18370
Lexus,IS,2002,63595,4060
Pontiac,Bonneville,1966,65646,43488
GMC,Yukon XL 1500,2004,70527,90650
Mazda,B-Series,2005,31754,9309
Honda,Accord,2004,61861,20487
Lincoln,Navigator,2006,41883,59142
Pontiac,Daewoo Kalos,2006,74854,94067
Mazda,B-Series Plus,1996,34926,6548
Nissan,240SX,1993,63322,31545
